    0 | 02:00000040 | E | E-Stop                                                       | 22.03.17   16:32:37 | 11.10.17   17:42:04
    1 | 02:00000100 | E | Low water flow : fiber con.                                  | 22.03.17   16:32:37 | laser off          
    2 | 02:00008000 | E | Low water flow : laser                                       | 22.03.17   16:32:37 | laser off          
    3 | 02:80000000 | E | E-Stop external                                              | 22.03.17   16:32:37 | laser off          
    4 | 02:00000040 | E | E-Stop                                                       | 23.03.17   10:05:20 | laser off          
    5 | 02:00000100 | E | Low water flow : fiber con.                                  | 23.03.17   10:05:20 | 23.03.17   10:38:21
    6 | 02:80000000 | E | E-Stop external                                              | 23.03.17   10:05:20 | laser off          
    7 | 01:00002000 | E | Laser error                                                  | 23.03.17   10:05:20 | laser off          
    8 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 23.03.17   10:05:20 | laser off          
    9 | 04:00000010 | E | Beam switch channel 2: Error                                 | 23.03.17   10:05:20 | laser off          
   10 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 23.03.17   10:05:20 | 23.03.17   10:38:22
   11 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 23.03.17   10:05:20 | 23.03.17   10:38:21
   12 | 02:00008000 | E | Low water flow : laser                                       | 23.03.17   10:06:01 | laser off          
   13 | 22:00080000 | W | FF Water flow warning                                        | 23.03.17   10:44:39 | 23.03.17   10:44:39
   14 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 23.03.17   10:44:39 | 23.03.17   10:44:39
   15 | 02:00000100 | E | Low water flow : fiber con.                                  | 23.03.17   10:44:39 | 23.03.17   10:45:38
   16 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 23.03.17   10:44:39 | 23.03.17   10:45:38
   17 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 23.03.17   10:44:40 | 23.03.17   10:44:40
   18 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 23.03.17   10:44:40 | 23.03.17   10:45:39
   19 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 23.03.17   10:45:40 | 23.03.17   10:45:40
   20 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 23.03.17   10:45:40 | 23.03.17   10:45:40
   21 | 22:00080000 | W | FF Water flow warning                                        | 23.03.17   10:56:15 | 23.03.17   10:56:15
   22 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 23.03.17   10:56:15 | 23.03.17   10:56:15
   23 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 23.03.17   10:56:15 | 23.03.17   10:56:17
   24 | 02:00000100 | E | Low water flow : fiber con.                                  | 23.03.17   10:56:15 | 23.03.17   10:56:17
   25 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 23.03.17   10:56:16 | 23.03.17   10:56:16
